 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
     14   bfs    5,736701 0:00:08  0,0006  0,0796               0,0007
     16   bfs    6,322243 0:00:09  0,0006  0,0843               0,0008
     18   bfs    7,132673 0:00:09  0,0006  0,0918               0,0009
     20   bfs    8,332892 0:00:11  0,0007  0,1056               0,0010
     22   bfs    8,472361 0:00:11  0,0008  0,1074               0,0010
     24   bfs    8,842902 0:00:11  0,0008  0,1146               0,0011
     26   bfs   10,036083 0:00:12  0,0009  0,1210               0,0011
     28   bfs    9,928083 0:00:12  0,0009  0,1217               0,0011
     30   bfs   10,326148 0:00:12  0,0009  0,1262               0,0012
     32   bfs   10,743433 0:00:13  0,0009  0,1294               0,0012
     34   bfs   10,950642 0:00:13  0,0009  0,1317               0,0012
     36   bfs   10,989523 0:00:13  0,0009  0,1327               0,0012
     38   bfs   11,971401 0:00:14  0,0011  0,1554               0,0014
     40   bfs   12,236326 0:00:15  0,0012  0,1651               0,0015
     42   bfs   12,926732 0:00:15  0,0013  0,1848               0,0017
     44   bfs   13,078405 0:00:15  0,0013  0,1876               0,0017
     46   bfs   13,682755 0:00:16  0,0014  0,1947               0,0018
     48   bfs   14,182409 0:00:16  0,0014  0,2015               0,0019
      2   bfs    2,216345 0:00:04  0,0003  0,0437               0,0004
      4   bfs    2,522990 0:00:05  0,0003  0,0464               0,0004
      6   bfs    2,920595 0:00:05  0,0004  0,0510               0,0005
      8   bfs    3,295339 0:00:05  0,0004  0,0543               0,0005
     10   bfs    3,477141 0:00:06  0,0004  0,0569               0,0005
     12   bfs    3,830468 0:00:06  0,0004  0,0602               0,0006
     14   bfs    5,678401 0:00:08  0,0006  0,0799               0,0007
     16   bfs    6,376513 0:00:09  0,0006  0,0872               0,0008
     18   bfs    6,975973 0:00:09  0,0006  0,0921               0,0009
     20   bfs    7,913201 0:00:10  0,0007  0,1009               0,0009
     22   bfs    7,772919 0:00:10  0,0007  0,0991               0,0009
     24   bfs    8,269424 0:00:10  0,0008  0,1076               0,0010
     26   bfs    9,965939 0:00:12  0,0009  0,1225               0,0011
     28   bfs    9,929378 0:00:12  0,0009  0,1221               0,0011
     30   bfs   10,255798 0:00:12  0,0009  0,1250               0,0012
     32   bfs   10,583717 0:00:13  0,0009  0,1285               0,0012
     34   bfs   10,593606 0:00:13  0,0009  0,1284               0,0012
     36   bfs   11,398384 0:00:14  0,0010  0,1381               0,0013
     38   bfs   11,362944 0:00:14  0,0009  0,1337               0,0012
     40   bfs         NaN 0:00:02  0,0002  0,0216               0,0002
     42   bfs   12,802509 0:00:15  0,0013  0,1837               0,0017
     44   bfs   13,134795 0:00:15  0,0013  0,1903               0,0018
     46   bfs   13,919941 0:00:16  0,0014  0,1983               0,0018
     48   bfs   14,023755 0:00:16  0,0014  0,2013               0,0019
      2   bfs    2,301193 0:00:04  0,0003  0,0441               0,0004
      4   bfs    2,627073 0:00:05  0,0003  0,0476               0,0004
      6   bfs    3,112505 0:00:05  0,0004  0,0526               0,0005
      8   bfs    3,508489 0:00:06  0,0004  0,0609               0,0006
     10   bfs    3,580953 0:00:06  0,0004  0,0572               0,0005
     12   bfs    4,122738 0:00:06  0,0004  0,0631               0,0006
     14   bfs    6,170662 0:00:08  0,0006  0,0833               0,0008
     16   bfs    6,529871 0:00:09  0,0006  0,0879               0,0008
     18   bfs    6,691672 0:00:09  0,0006  0,0890               0,0008
     20   bfs    7,345901 0:00:10  0,0007  0,0970               0,0009
     22   bfs    7,886471 0:00:10  0,0007  0,1042               0,0010
     24   bfs    8,408898 0:00:11  0,0008  0,1065               0,0010
     26   bfs    9,767456 0:00:12  0,0008  0,1193               0,0011
     28   bfs   10,239389 0:00:12  0,0009  0,1261               0,0012
     30   bfs   10,881264 0:00:13  0,0009  0,1302               0,0012
     32   bfs   10,891211 0:00:13  0,0009  0,1301               0,0012
     34   bfs   11,266623 0:00:14  0,0009  0,1323               0,0012
     36   bfs   10,893041 0:00:13  0,0009  0,1295               0,0012
     38   bfs   12,438431 0:00:15  0,0011  0,1581               0,0015
