 Treads   App        Time Time CT  Energy   CO2eq  km travelled by car
     32   bfs   15,909880 0:00:19  0,0009  0,1214               0,0011
     34   bfs   16,656075 0:00:20  0,0009  0,1287               0,0012
     36   bfs   18,338366 0:00:22  0,0010  0,1410               0,0013
     38   bfs   18,238756 0:00:22  0,0010  0,1379               0,0013
     40   bfs   19,558672 0:00:23  0,0011  0,1493               0,0014
      2   bfs    3,976564 0:00:07  0,0002  0,0297               0,0003
      4   bfs    4,284581 0:00:08  0,0002  0,0308               0,0003
      6   bfs    5,290265 0:00:09  0,0002  0,0333               0,0003
      8   bfs    4,897361 0:00:08  0,0002  0,0315               0,0003
     10   bfs    5,461752 0:00:09  0,0002  0,0337               0,0003
     12   bfs    7,821947 0:00:11  0,0003  0,0438               0,0004
     14   bfs    8,797231 0:00:12  0,0003  0,0484               0,0004
     16   bfs    9,872157 0:00:13  0,0004  0,0526               0,0005
     18   bfs   10,333324 0:00:14  0,0004  0,0552               0,0005
     20   bfs   10,820352 0:00:14  0,0004  0,0581               0,0005
     22   bfs   13,316222 0:00:17  0,0007  0,1050               0,0010
     24   bfs   14,015708 0:00:17  0,0008  0,1091               0,0010
     26   bfs   14,287837 0:00:18  0,0008  0,1101               0,0010
     28   bfs   14,886684 0:00:18  0,0008  0,1158               0,0011
     30   bfs   15,638436 0:00:19  0,0008  0,1195               0,0011
     32   bfs   16,886280 0:00:20  0,0009  0,1281               0,0012
     34   bfs   17,021790 0:00:20  0,0009  0,1290               0,0012
     36   bfs   17,960402 0:00:21  0,0010  0,1366               0,0013
     38   bfs   18,867229 0:00:22  0,0010  0,1417               0,0013
     40   bfs   19,999392 0:00:23  0,0009  0,1329               0,0012
      2   bfs    4,034041 0:00:07  0,0002  0,0297               0,0003
      4   bfs    4,472036 0:00:08  0,0002  0,0303               0,0003
      6   bfs    4,424735 0:00:08  0,0002  0,0302               0,0003
      8   bfs   16,051550 0:00:19  0,0004  0,0529               0,0005
     10   bfs    5,848264 0:00:09  0,0003  0,0356               0,0003
     12   bfs    7,743717 0:00:11  0,0003  0,0448               0,0004
     14   bfs    8,236388 0:00:11  0,0003  0,0465               0,0004
     16   bfs    9,264152 0:00:12  0,0004  0,0514               0,0005
     18   bfs   10,148880 0:00:14  0,0004  0,0538               0,0005
     20   bfs   10,595481 0:00:14  0,0004  0,0548               0,0005
     22   bfs   12,838603 0:00:16  0,0007  0,1018               0,0009
     24   bfs   13,976839 0:00:17  0,0008  0,1081               0,0010
     26   bfs   14,321372 0:00:18  0,0008  0,1102               0,0010
     28   bfs   15,354874 0:00:19  0,0008  0,1197               0,0011
     30   bfs   16,205271 0:00:20  0,0009  0,1222               0,0011
     32   bfs   16,098267 0:00:19  0,0009  0,1236               0,0011
     34   bfs   17,247074 0:00:20  0,0009  0,1331               0,0012
     36   bfs   18,014498 0:00:21  0,0010  0,1379               0,0013
     38   bfs   18,845503 0:00:22  0,0010  0,1422               0,0013
     40   bfs   19,692978 0:00:23  0,0009  0,1321               0,0012
      2 histo  697,684082 0:11:38  0,0211  2,9975               0,0279
      4 histo 1246,481323 0:20:47  0,0403  5,7065               0,0531
      6 histo 1548,385986 0:25:49  0,0536  7,6058               0,0708
      8 histo 1765,197632 0:29:25  0,0658  9,3285               0,0868
     10 histo 2043,042114 0:34:03  0,0832 11,7995               0,1098
     12 histo 1900,313477 0:31:40  0,0786 11,1444               0,1037
     14 histo 2340,336426 0:39:00  0,1193 16,9080               0,1573
     16 histo 2572,170654 0:42:52  0,1389 19,6951               0,1832
     18 histo 2973,723877 0:49:34  0,1746 24,7479               0,2302
     20 histo 2832,945312 0:47:13  0,1683 23,8548               0,2219
     22 histo 2983,360840 0:49:43  0,1771 25,1131               0,2336
     24 histo 2902,966064 0:48:23  0,1724 24,4447               0,2274
     26 histo 2411,637451 0:40:12  0,1330 18,8580               0,1754
     28 histo 2655,602051 0:44:16  0,1486 21,0660               0,1960
     30 histo 2921,196777 0:48:41  0,1697 24,0524               0,2237
     32 histo 2551,569580 0:42:32  0,1397 19,8044               0,1842
     34 histo 2803,863281 0:46:44  0,1563 22,1547               0,2061
     36 histo 2841,350342 0:47:21  0,1612 22,8605               0,2127
     38 histo 3278,210693 0:54:38  0,1941 27,5177               0,2560
     40 histo 3201,214355 0:53:21  0,1915 27,1547               0,2526
      2 histo  733,555969 0:12:14  0,0224  3,1782               0,0296
      4 histo 1093,691406 0:18:14  0,0348  4,9402               0,0460
      6 histo 1479,072144 0:24:39  0,0510  7,2333               0,0673
      8 histo 1729,087402 0:28:49  0,0649  9,1975               0,0856
     10 histo 1832,156982 0:30:32  0,0738 10,4575               0,0973
     12 histo 2116,012451 0:35:16  0,0944 13,3884               0,1245
     14 histo 2520,813477 0:42:01  0,1302 18,4656               0,1718
     16 histo 2802,253418 0:46:42  0,1549 21,9584               0,2043
     18 histo 2721,638672 0:45:22  0,1556 22,0561               0,2052
     20 histo 2815,078369 0:46:55  0,1660 23,5310               0,2189
     22 histo 2672,256348 0:44:32  0,1568 22,2345               0,2068
     24 histo 2814,551758 0:46:55  0,1645 23,3167               0,2169
     26 histo 2400,990723 0:40:01  0,1324 18,7767               0,1747
     28 histo 2469,678955 0:41:10  0,1351 19,1571               0,1782
     30 histo 2525,961914 0:42:06  0,1371 19,4302               0,1807
     32 histo         NaN     NaN     NaN     NaN                  NaN
