"out_bt.C.x.Threads","out_bt.C.x.time_seconds.Media","out_bt.C.x.time_seconds.SD","out_bt.C.x.CO2eq.Media","out_bt.C.x.CO2eq.SD","out_cg.C.x.Threads","out_cg.C.x.time_seconds.Media","out_cg.C.x.time_seconds.SD","out_cg.C.x.CO2eq.Media","out_cg.C.x.CO2eq.SD","out_ft.C.x.Threads","out_ft.C.x.time_seconds.Media","out_ft.C.x.time_seconds.SD","out_ft.C.x.CO2eq.Media","out_ft.C.x.CO2eq.SD","out_mg.C.x.Threads","out_mg.C.x.time_seconds.Media","out_mg.C.x.time_seconds.SD","out_mg.C.x.CO2eq.Media","out_mg.C.x.CO2eq.SD","out_sp.C.x.Threads","out_sp.C.x.time_seconds.Media","out_sp.C.x.time_seconds.SD","out_sp.C.x.CO2eq.Media","out_sp.C.x.CO2eq.SD","out_ua.C.x.Threads","out_ua.C.x.time_seconds.Media","out_ua.C.x.time_seconds.SD","out_ua.C.x.CO2eq.Media","out_ua.C.x.CO2eq.SD","PO.Threads","PO.time_seconds.Media","PO.time_seconds.SD","PO.CO2eq.Media","PO.CO2eq.SD","ST.Threads","ST.time_seconds.Media","ST.time_seconds.SD","ST.CO2eq.Media","ST.CO2eq.SD","FFT.Threads","FFT.time_seconds.Media","FFT.time_seconds.SD","FFT.CO2eq.Media","FFT.CO2eq.SD","HPCG.Threads","HPCG.time_seconds.Media","HPCG.time_seconds.SD","HPCG.CO2eq.Media","HPCG.CO2eq.SD","JA.Threads","JA.time_seconds.Media","JA.time_seconds.SD","JA.CO2eq.Media","JA.CO2eq.SD","LULESH.Threads","LULESH.time_seconds.Media","LULESH.time_seconds.SD","LULESH.CO2eq.Media","LULESH.CO2eq.SD"
26,86.612,1.70111597357604,3.60811,1.55613796549878,26,24.352,0.215860036958107,1.16563,0.402583945835455,26,19.679,0.175970325781239,0.90825,0.312396113398785,26,68.503,0.390613477607838,3.02477,1.03892128891247,26,203.978,7.45010484639123,8.83001,3.08150958692868,26,83.769,2.7358462026299,3.80268,1.29017336888411,26,0.558054,0.0313811756029347,0.00257,0.00812705358663274,26,0.333125,0.0102279673770826,0,0,26,51.815837,2.04891185062429,1.763,0.763401417633243,26,26.47923,0.550613770905805,0.93021,0.400084650626173,26,43.548825,0.633764742966802,1.70295,0.732287654849134,26,63.107,1.36275904774917,2.59328,1.12061203099021
28,81.657,1.99640816356665,3.44759,1.47308645325988,28,25.223,0.15965587994183,1.20698,0.414123196377331,28,19.725,0.191499927473151,0.90536,0.31118779681872,28,73.728,0.251475644943998,3.17699,1.0949194404156,28,220.909,12.7171384359847,9.2196,3.07353422951494,28,86.072,1.55853777625055,3.91303,1.34335020837209,28,0.558424,0.0270845155434285,0.00276,0.00872788634206473,28,0.320966,0.0294404559898261,0,0,28,52.1564812,1.21147976915449,1.75039,0.75100541712797,28,26.222181,0.688673172354718,0.92611,0.403768218577606,28,44.195127,0.487205027091606,1.70685,0.733070738211683,28,64.956,1.71369127259777,2.66923,1.1480719228825
30,86.429,1.87689134238269,3.60637,1.55713238575844,30,26.748,0.160263671630361,1.26404,0.43395063006445,30,19.514,0.189220623729139,0.89706,0.30871244153023,30,77.857,0.3334683060069,3.29931,1.13314388068477,30,252.768,16.792545833064,10.25202,3.62033818088863,30,88.356,1.63239564920872,3.99961,1.3678610345678,30,0.506993,0.035851901561222,0.0022,0.00695701085237043,30,0.278199,0.0270839437674797,0,0,30,52.2603554,1.07713537635621,1.78125,0.76810116702019,30,26.573292,0.592737889623698,0.92112,0.392368995263954,30,44.559789,0.685840069638039,1.69447,0.761088410764479,30,67.501,3.32415887439548,2.79263,1.224019386239
32,82.393,2.65321628720063,3.46326,1.50409599073109,32,27.801,0.272415124396573,1.30249,0.448230856813763,32,21.526,0.730968915587766,0.97949,0.34061835420632,32,80.892,0.288012345414413,3.39387,1.16848609942761,32,252.353,13.3805688718131,10.25223,3.56960255679038,32,91.073,2.09818466510669,4.11027,1.39351691537794,32,0.459614,0.027461488265893,0,0,32,0.250332,0.0339455062645346,0,0,32,52.2663936,1.03310914328762,1.76303,0.748347229343883,32,26.486493,0.712196346570087,0.92464,0.397623893201156,32,44.825369,0.597584125280933,1.72889,0.74765837928235,32,70.669,2.54472635507675,2.90817,1.25043041571915
34,80.925,2.73396842215365,3.41185,1.4718692184128,34,28.74,0.20757863302587,1.33348,0.457666350570418,34,22.238,0.1529560575968,1.01735,0.351801305189923,34,83.354,0.474931574018826,3.4687,1.19435028641796,34,256.398,5.3656827255356,10.39374,3.58170967841399,34,94.342,2.99192914354602,4.26726,1.48908577933651,34,0.512444,0.0259443152411725,0,0,34,0.209889,0.010935097875902,0,0,34,52.2698005,1.64504220281516,1.75872,0.753254033879378,34,26.437501,0.545825620636603,0.92434,0.397810038977288,34,44.344579,0.481780144797511,1.70309,0.733752305239612,34,73.386,1.64038071461746,3.03116,1.30556006134447
36,86.565,4.82174530411736,3.5081,1.4814133956762,36,29.801,0.156592180874752,1.36654,0.469823785406117,36,21.992,0.0335989417822773,1.00446,0.346103369915213,36,87.184,0.331401066182152,3.51617,1.21623666378437,36,292.034,13.4146778650187,11.41209,3.99298178821291,36,96.821,2.19301137454617,3.99587,1.72280433405667,36,0.568765,0.0228456333051004,0,0,36,0.186057,0.00323977039652846,0,0,36,51.9958178,1.45759862625688,1.76847,0.76319947305188,36,26.524191,0.539919024884494,0.927,0.398732018055012,36,44.433775,0.634870636608575,1.71174,0.736711262903513,36,74.885,2.24236606189881,3.09858,1.34137911767454
38,84.595,3.83308187581046,3.47933,1.48778194941329,38,28.244,0.204189454510593,1.31972,0.454972897361297,38,21.457,0.526899737458023,0.98213,0.334378810632492,38,82.17,0.356651090002541,3.40653,1.17177983810953,38,284.066,13.6546013408586,11.29574,3.98559685038236,38,91.009,2.52986802466497,3.81684,1.66382306898567,38,0.657083,0.0412774216060602,0,0,38,0.189144,0.0367845741219514,0,0,38,51.7429573,2.06045429522294,1.77263,0.768526191341439,38,26.816301,0.774617570725495,0.93642,0.402328361747798,38,44.675937,0.39800809916522,1.71894,0.736604652291701,38,78.058,2.90133609068496,2.92273,1.4479348942162
40,75.88,1.91953698120724,3.224,1.36584830864274,40,27.03,0.453186250649529,1.28442,0.440889038194419,40,19.77,0.0707106781186541,0.92955,0.320087391712534,40,79.222,0.843574405596673,3.32352,1.14169529385033,40,261.16,14.2441434358905,10.58484,3.73076832813594,40,86.452,2.19086892959544,3.63792,1.56932857249349,40,0.619627,0.0170404193023529,0,0,40,0.161036,0.0029999748147091,0,0,40,52.6144026,2.64789074282331,1.81544,0.804418559098572,40,26.715603,0.656187189587613,0.93364,0.399536384659353,40,44.68982,0.840170725190223,1.71869,0.733056528743407,40,79.978,3.49241654636633,3.28616,1.37717510481904
42,74.655,2.25017653628431,3.2405,1.40538757327333,42,25.708,0.36306718080512,1.24236,0.429346157158378,42,20.328,0.162467090684716,0.95217,0.327460576253081,42,75.403,0.485913801226331,3.22692,1.11079485134645,42,260.095,14.0433410475491,10.76165,3.76381572557838,42,82.479,2.24134111638546,3.43541,1.47684962331609,42,0.593378,0.0316471440874036,0,0,42,0.158972,0.00252718904010849,0,0,42,53.1141759,1.49573179450584,1.80675,0.770041468219587,42,26.957637,0.774390264689295,0.94447,0.401110913034731,42,44.359835,0.856071249997465,1.72044,0.732419135013097,42,81.266,2.27492222089264,3.34922,1.4034290417086
44,70.61,1.68101160019793,3.13248,1.34035522721072,44,24.361,0.364918560168643,1.19446,0.411590446925096,44,19.031,0.143019035252111,0.92625,0.319154164245989,44,72.007,0.639670922341237,3.15376,1.08432352203779,44,236.396,12.7540688061148,10.00432,3.42521944854146,44,78.223,1.71295099495319,3.3333,1.43719411431519,44,0.545521,0.0289435667194705,0,0,44,0.15671,0.000676756972627548,0,0,44,52.8670208,1.98494481935946,1.82139,0.791083242494464,44,27.431386,0.343459304987101,0.96708,0.415182192403394,44,44.346731,0.594777883218228,1.73481,0.746230827336064,44,84.901,2.6092887494062,3.51192,1.48588548070764
46,67.762,1.97696625048471,3.04634,1.31000476691245,46,22.98,0.387785736944744,1.13811,0.388377377902816,46,18.613,0.177078137178667,0.91584,0.313897308756294,46,69.048,0.6381361749484,3.08726,1.06593188879757,46,219.563,3.3971885434871,9.56719,3.30360373412295,46,75.865,1.27375429341769,3.22408,1.37093765706379,46,0.524688,0.0189989869905389,0,0,46,0.154401,0.0019020483111051,0,0,46,53.1934275,2.01438548598553,1.83232,0.786659551945228,46,27.060326,0.725692328243252,0.95721,0.409778884684574,46,44.893611,2.15626972403964,1.75889,0.753321550719066,46,88.665,2.1107305212493,3.67582,1.61401187094629
48,70.63,5.37909120783634,3.08129,1.34090318189727,48,22.384,0.241578144706842,1.10811,0.379125963969174,48,18.413,0.166736651972837,0.91664,0.31636321671283,48,67.474,0.444901986709185,3.04274,1.0466055929103,48,236.979,18.9561326634827,9.19773,3.76177033974697,48,72.249,1.29015459883259,3.07309,1.31056138730274,48,0.565605,0.0365166592879956,0,0,48,0.152829,0.00218796937821351,0,0,48,53.4492519,1.82669997455767,1.84589,0.797227478271485,48,27.691023,0.264541126987426,0.98108,0.42274753905585,48,44.19387,1.07799950408152,1.75011,0.752653245304016,48,92.852,2.70361815186818,3.86276,1.65549212904602
