"out_bt.C.x.Threads","out_bt.C.x.time_seconds.Media","out_bt.C.x.time_seconds.SD","out_bt.C.x.CO2eq.Media","out_bt.C.x.CO2eq.SD","out_cg.C.x.Threads","out_cg.C.x.time_seconds.Media","out_cg.C.x.time_seconds.SD","out_cg.C.x.CO2eq.Media","out_cg.C.x.CO2eq.SD","out_ft.C.x.Threads","out_ft.C.x.time_seconds.Media","out_ft.C.x.time_seconds.SD","out_ft.C.x.CO2eq.Media","out_ft.C.x.CO2eq.SD","out_mg.C.x.Threads","out_mg.C.x.time_seconds.Media","out_mg.C.x.time_seconds.SD","out_mg.C.x.CO2eq.Media","out_mg.C.x.CO2eq.SD","out_sp.C.x.Threads","out_sp.C.x.time_seconds.Media","out_sp.C.x.time_seconds.SD","out_sp.C.x.CO2eq.Media","out_sp.C.x.CO2eq.SD","out_ua.C.x.Threads","out_ua.C.x.time_seconds.Media","out_ua.C.x.time_seconds.SD","out_ua.C.x.CO2eq.Media","out_ua.C.x.CO2eq.SD","PO.Threads","PO.time_seconds.Media","PO.time_seconds.SD","PO.CO2eq.Media","PO.CO2eq.SD","ST.Threads","ST.time_seconds.Media","ST.time_seconds.SD","ST.CO2eq.Media","ST.CO2eq.SD","FFT.Threads","FFT.time_seconds.Media","FFT.time_seconds.SD","FFT.CO2eq.Media","FFT.CO2eq.SD","HPCG.Threads","HPCG.time_seconds.Media","HPCG.time_seconds.SD","HPCG.CO2eq.Media","HPCG.CO2eq.SD","JA.Threads","JA.time_seconds.Media","JA.time_seconds.SD","JA.CO2eq.Media","JA.CO2eq.SD","LULESH.Threads","LULESH.time_seconds.Media","LULESH.time_seconds.SD","LULESH.CO2eq.Media","LULESH.CO2eq.SD"
24,61.721,1.58742593877986,2.26922,0.0349707751002335,24,17.989,0.389941591067745,0.61037,0.144427475456253,24,13.547,0.0336815148775177,0.51635,0.123110341202968,24,36.146,0.177212991748473,1.07124,0.369007877663578,24,105.992,0.565111591733092,3.05769,1.05453148570032,24,49.43,0.475184174820668,1.50704,0.517645318727022,24,0.659525,0.030261019755895,0,0,24,0.671701,0.00863369941308796,6e-04,0.00189736659610103,24,31.415195,0.770118203371261,0.51683,0.222414058558456,24,10.990667,0.277485888091629,0.17091,0.0627971947356462,24,17.200526,0.433029500180608,0.4794,0.16695164303208,24,30.236,0.706512561813306,0.91744,0.22076525592181
26,59.002,0.842361759182676,2.22929,0.0192448809932524,26,17.219,0.689322533764534,0.61191,0.148310563420891,26,12.56,0.0539547135207955,0.49003,0.116899510977021,26,33.666,0.345453003717984,1.02186,0.354177755747967,26,100.014,0.961690640948994,2.93211,1.00887970921546,26,45.061,0.368101737144624,1.42883,0.491228150319856,26,0.605221,0.0228648378520382,0,0,26,0.625473,0.00440470468173899,0,0,26,31.5143049,0.832446857214381,0.51327,0.22223679588323,26,11.418992,0.466192193623569,0.19335,0.0858162410166177,26,17.434928,0.478201541607255,0.49623,0.174107400123538,26,30.431,0.995718054694423,0.94631,0.227442703163285
28,55.361,0.303441372700998,2.1522,0.013410526545301,28,20.622,1.27485772626683,0.72053,0.167407035893557,28,11.677,0.0326768691550734,0.47661,0.113570002396955,28,31.154,0.193689327417789,0.96918,0.334453852654676,28,94.053,0.488422631198293,2.8119,0.968712247149678,28,41.072,0.411414902771183,1.35348,0.463385526556691,28,0.570132,0.0174865299270292,0,0,28,0.598642,0.00890560847007224,0,0,28,31.7057384,0.608526408753365,0.51886,0.224664877342034,28,11.094996,0.458645847957755,0.17794,0.0733308060170561,28,17.621886,0.577107716793167,0.50598,0.173886174774701,28,30.929,1.03267129329715,0.98856,0.241090126992653
30,51.178,1.179169199055,2.06465,0.0268366768103322,30,16.433,0.855804364975496,0.62353,0.156109171557742,30,10.901,0.0470106370941726,0.43443,0.104114680894568,30,29.348,0.160886433375982,0.93839,0.324005214121282,30,86.639,0.571459146007444,2.66179,0.916862053661533,30,38.281,0.496531301463799,1.29841,0.447288985506636,30,0.539408,0.025791093983949,0,0,30,0.570802,0.00807846630108573,0,0,30,32.0147603,0.761654611197526,0.5248,0.227185758552091,30,11.32495,0.419247704002194,0.18377,0.0794657864884141,30,18.161048,0.514944199302755,0.525,0.179688100143925,30,31.095,0.805346716224343,1.01957,0.242983634794152
32,47.414,0.280562926195808,2.00144,0.0114726922152853,32,13.962,0.323892986442539,0.54972,0.13315877573617,32,10.17,0.036209268304001,0.41638,0.0995903364343705,32,27.155,0.145392189917095,0.8999,0.309231161287331,32,80.919,0.852231710797534,2.57752,0.885853039981488,32,35.655,0.344327040923468,1.24119,0.42633131730042,32,0.503766,0.0216343637145476,0,0,32,0.542812,0.0104910160507826,0,0,32,31.9013915,0.817747054598487,0.52193,0.223993278917025,32,11.416034,0.260806239708929,0.17283,0.0599680850304745,32,18.265394,0.481235128975431,0.53712,0.183688122158789,32,31.807,0.481457278593969,1.07118,0.257032063715362
34,46.966,0.288952129830069,2.00327,0.0154922238558574,34,13.555,0.908811800588488,0.54744,0.135006832748898,34,9.678,0.0423739962188552,0.40464,0.0965845536304848,34,26.095,0.285783523356792,0.89395,0.307982514835574,34,81.129,0.97832566720449,2.61205,0.89656253205724,34,33.023,0.486073839841003,1.18897,0.408643599267408,34,0.478771,0.0200782521649669,0,0,34,0.529534,0.0120287795631052,0,0,34,32.7991661,0.32363069979306,0.53628,0.230060643212948,34,11.734375,0.311906332921707,0.24194,0.106137638103654,34,18.453222,0.362534522365342,0.54887,0.189965447443008,34,32.686,0.630276835120004,1.12128,0.269665763492513
36,44.571,1.03909629539861,1.91232,0.122366932715592,36,12.759,0.568183264644623,0.53378,0.127344003043375,36,9.189,0.0351030229784022,0.39423,0.0943316377939495,36,24.582,0.181340686125437,0.87582,0.302121281018806,36,75.205,0.862763647305048,2.5257,0.870208047921109,36,31.194,0.405413369291147,1.16242,0.39892223915055,36,0.458141,0.0187773761331141,0,0,36,0.51214,0.0070836039164005,0,0,36,32.8118545,0.617395253174037,0.54284,0.233765020670093,36,11.715772,0.316780065688764,0.20826,0.0900478539444445,36,18.557787,0.488417634635906,0.56422,0.195415231977676,36,33.276,1.20464102536814,1.17728,0.292371194051519
38,41.588,0.389267117656871,1.90291,0.015776244448185,38,11.816,0.356563848108271,0.51054,0.118751357419142,38,8.819,0.0317804971641416,0.38858,0.0927841317850801,38,23.521,0.127754104087153,0.86542,0.298629029622596,38,70.047,0.349890459048732,2.4874,0.854439916618548,38,29.605,0.23162469643801,1.13077,0.388550165644312,38,0.451605,0.0172782453134313,0,0,38,0.497437,0.0150576167879692,0,0,38,32.936906,0.539478307589018,0.54474,0.234819496635181,38,12.087599,0.191498257343391,0.2892,0.106023016369088,38,18.660825,0.407354709729603,0.56618,0.193243362973566,38,34.128,0.911162871158487,1.23285,0.301861720549879
40,37.85,0.308688984074406,1.85144,0.0104088850934617,40,11.39,0.295145914949049,0.49716,0.119311275428789,40,8.287,0.0240601099101584,0.38812,0.0928239528474317,40,22.501,0.166629995965779,0.86638,0.299892179883964,40,66.195,1.54550423271285,2.50112,0.864917171114604,40,28.26,0.150037032465692,1.12028,0.384419394238463,40,0.450424,0.043237415947045,0,0,40,0.486396,0.00699454263455922,0,0,40,33.0182426,0.35324398630918,0.54089,0.231133470098988,40,11.824496,0.456018502358548,0.24318,0.100947927170398,40,19.078731,0.327919658637769,0.58131,0.2014521197594,40,34.942,1.41902783623155,1.29032,0.31683012903868
42,37.779,0.106609359605786,1.86619,0.00409917335840073,42,11.494,1.02405729006405,0.50045,0.130864486736811,42,7.964,0.0275680975041805,0.38466,0.0919835275108176,42,21.183,0.15656379601371,0.85626,0.29546019923728,42,65.337,1.00158818328138,2.53171,0.872765612483291,42,27.063,0.251751641283407,1.10921,0.383657273125666,42,0.424632,0.0264597257061453,0,0,42,0.491489,0.00676952394518583,0,0,42,33.3941093,0.506978917415935,0.55057,0.237229069091927,42,12.155588,0.34639513576903,0.28328,0.113973601231942,42,19.114355,0.293129315538002,0.59051,0.204229655317515,42,35.778,0.619691679609931,1.36182,0.327002958872104
